Organism,feature_number,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource,Experiment,Replicate,DayNight,variable,value
Dictyota,4360,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,57595669.704058565
Dictyota,4360,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,57595669.704058565
Dictyota,4360,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,57595669.704058565
Dictyota,4709,231,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,6328908.174564382
Dictyota,4709,231,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,6328908.174564382
Dictyota,4709,231,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,6328908.174564382
Dictyota,4709,231,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,6328908.174564382
Dictyota,4719,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,1,Day,T0,11766858.011423822
Dictyota,4719,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,2,Day,T0,11766858.011423822
Dictyota,4719,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,3,Day,T0,11766858.011423822
Dictyota,4719,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,4,Day,T0,11766858.011423822
Dictyota,4977,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,11121016.14502149
Dictyota,4977,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,11121016.14502149
Dictyota,4977,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,11121016.14502149
Dictyota,4977,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,11121016.14502149
Dictyota,6107,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,21527619.898107395
Dictyota,6107,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,21527619.898107395
Dictyota,6107,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,21527619.898107395
Dictyota,6107,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,21527619.898107395
Dictyota,6142,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,39696200.92074978
Dictyota,6142,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,39696200.92074978
Dictyota,6142,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,39696200.92074978
Dictyota,6142,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,39696200.92074978
Dictyota,6359,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,1,Day,T0,1477852.2649335884
Dictyota,6359,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,2,Day,T0,1477852.2649335884
Dictyota,6359,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,3,Day,T0,1477852.2649335884
Dictyota,6359,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,4,Day,T0,1477852.2649335884
Dictyota,6377,21,Fatty acid esters,1,subclass,21,Library,dorcierr,1,Day,T0,12292166.46109376
Dictyota,6377,21,Fatty acid esters,1,subclass,21,Library,dorcierr,2,Day,T0,12292166.46109376
Dictyota,6377,21,Fatty acid esters,1,subclass,21,Library,dorcierr,3,Day,T0,12292166.46109376
Dictyota,6377,21,Fatty acid esters,1,subclass,21,Library,dorcierr,4,Day,T0,12292166.46109376
Dictyota,7028,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,1,Day,T0,5381039.167255852
Dictyota,7028,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,2,Day,T0,5381039.167255852
Dictyota,7028,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,3,Day,T0,5381039.167255852
Dictyota,7028,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,4,Day,T0,5381039.167255852
Dictyota,7463,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,68978174.10559326
Dictyota,7463,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,68978174.10559326
Dictyota,7463,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,68978174.10559326
Dictyota,7463,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,68978174.10559326
Dictyota,7683,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,11054299.943968803
Dictyota,7683,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,11054299.943968803
Dictyota,7683,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,11054299.943968803
Dictyota,7683,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,11054299.943968803
Dictyota,7737,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,6724909.936421875
Dictyota,7737,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,6724909.936421875
Dictyota,7737,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,6724909.936421875
Dictyota,7737,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,6724909.936421875
Dictyota,7820,87,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,5014282.2867577905
Dictyota,7820,87,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,5014282.2867577905
Dictyota,7820,87,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,5014282.2867577905
Dictyota,7820,87,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,5014282.2867577905
Dictyota,8244,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,1,Day,T0,1273291.7047656316
Dictyota,8244,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,2,Day,T0,1273291.7047656316
Dictyota,8244,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,3,Day,T0,1273291.7047656316
Dictyota,8244,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,4,Day,T0,1273291.7047656316
Dictyota,8388,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,3672198.2308027684
Dictyota,8388,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,3672198.2308027684
Dictyota,8388,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,3672198.2308027684
Dictyota,8388,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,3672198.2308027684
Dictyota,9577,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,2535655.902191436
Dictyota,9577,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,2535655.902191436
Dictyota,9577,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,2535655.902191436
Dictyota,9577,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,2535655.902191436
Dictyota,9815,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,1,Day,T0,1846123.251953121
Dictyota,9815,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,2,Day,T0,1846123.251953121
Dictyota,9815,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,3,Day,T0,1846123.251953121
Dictyota,9815,167,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico,dorcierr,4,Day,T0,1846123.251953121
Dictyota,10317,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,1,Day,T0,1426616.9397187964
Dictyota,10317,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,2,Day,T0,1426616.9397187964
Dictyota,10317,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,3,Day,T0,1426616.9397187964
Dictyota,10317,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,dorcierr,4,Day,T0,1426616.9397187964
Dictyota,10384,1063,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,3250420.0934453164
Dictyota,10384,1063,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,3250420.0934453164
Dictyota,10384,1063,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,3250420.0934453164
Dictyota,10384,1063,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,3250420.0934453164
Dictyota,10396,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,1,Day,T0,2549976.4770781477
Dictyota,10396,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,2,Day,T0,2549976.4770781477
Dictyota,10396,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,3,Day,T0,2549976.4770781477
Dictyota,10396,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,4,Day,T0,2549976.4770781477
Dictyota,10502,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,2993227.0379043166
Dictyota,10502,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,2993227.0379043166
Dictyota,10502,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,2993227.0379043166
Dictyota,10502,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,2993227.0379043166
Dictyota,10622,59,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,9407026.144703057
Dictyota,10622,59,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,9407026.144703057
Dictyota,10622,59,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,9407026.144703057
Dictyota,10622,59,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,9407026.144703057
Dictyota,10634,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,7022834.472773405
Dictyota,10634,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,7022834.472773405
Dictyota,10634,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,7022834.472773405
Dictyota,10634,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,7022834.472773405
Dictyota,10645,231,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,4485963.555312488
Dictyota,10645,231,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,4485963.555312488
Dictyota,10645,231,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,4485963.555312488
Dictyota,10645,231,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,4485963.555312488
Dictyota,10647,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,6294151.814503849
Dictyota,10647,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,6294151.814503849
Dictyota,10647,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,6294151.814503849
Dictyota,10647,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,6294151.814503849
Dictyota,10671,21,Fatty acid esters,1,subclass,21,Library,dorcierr,1,Day,T0,9386876.655355405
Dictyota,10671,21,Fatty acid esters,1,subclass,21,Library,dorcierr,2,Day,T0,9386876.655355405
Dictyota,10671,21,Fatty acid esters,1,subclass,21,Library,dorcierr,3,Day,T0,9386876.655355405
Dictyota,10671,21,Fatty acid esters,1,subclass,21,Library,dorcierr,4,Day,T0,9386876.655355405
Dictyota,10681,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,4199595.095960928
Dictyota,10681,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,4199595.095960928
Dictyota,10681,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,4199595.095960928
Dictyota,10681,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,4199595.095960928
Dictyota,10702,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,3534521.7907265713
Dictyota,10702,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,3534521.7907265713
Dictyota,10702,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,3534521.7907265713
Dictyota,10702,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,3534521.7907265713
Dictyota,10752,17,Fatty amides,1,subclass,1,Library,dorcierr,1,Day,T0,45422898.449244134
Dictyota,10752,17,Fatty amides,1,subclass,1,Library,dorcierr,2,Day,T0,45422898.449244134
Dictyota,10752,17,Fatty amides,1,subclass,1,Library,dorcierr,3,Day,T0,45422898.449244134
Dictyota,10752,17,Fatty amides,1,subclass,1,Library,dorcierr,4,Day,T0,45422898.449244134
Dictyota,10958,2405,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,4525126.001570302
Dictyota,10958,2405,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,4525126.001570302
Dictyota,10958,2405,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,4525126.001570302
Dictyota,10958,2405,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,4525126.001570302
Dictyota,10989,1063,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,1337844.4597109393
Dictyota,10989,1063,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,1337844.4597109393
Dictyota,10989,1063,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,1337844.4597109393
Dictyota,10989,1063,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,1337844.4597109393
Dictyota,11008,1063,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,2825559.465023446
Dictyota,11008,1063,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,2825559.465023446
Dictyota,11008,1063,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,2825559.465023446
Dictyota,11008,1063,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,2825559.465023446
Dictyota,11378,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,1,Day,T0,2770649.92319139
Dictyota,11378,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,2,Day,T0,2770649.92319139
Dictyota,11378,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,3,Day,T0,2770649.92319139
Dictyota,11378,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,4,Day,T0,2770649.92319139
Dictyota,12677,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,1679529.538062501
Dictyota,12677,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,1679529.538062501
Dictyota,12677,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,1679529.538062501
Dictyota,12677,1291,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,1679529.538062501
Dictyota,13087,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,3887507.1033476363
Dictyota,13087,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,3887507.1033476363
Dictyota,13087,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,3887507.1033476363
Dictyota,13087,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,3887507.1033476363
Dictyota,13469,17,Fatty amides,1,subclass,1,Library,dorcierr,1,Day,T0,523239.98309374286
Dictyota,13469,17,Fatty amides,1,subclass,1,Library,dorcierr,2,Day,T0,523239.98309374286
Dictyota,13469,17,Fatty amides,1,subclass,1,Library,dorcierr,3,Day,T0,523239.98309374286
Dictyota,13469,17,Fatty amides,1,subclass,1,Library,dorcierr,4,Day,T0,523239.98309374286
Dictyota,13740,2021,Diterpenoids,0.7666666666666666,subclass,3,Insilico,dorcierr,1,Day,T0,1071352.0585317232
Dictyota,13740,2021,Diterpenoids,0.7666666666666666,subclass,3,Insilico,dorcierr,2,Day,T0,1071352.0585317232
Dictyota,13740,2021,Diterpenoids,0.7666666666666666,subclass,3,Insilico,dorcierr,3,Day,T0,1071352.0585317232
Dictyota,13740,2021,Diterpenoids,0.7666666666666666,subclass,3,Insilico,dorcierr,4,Day,T0,1071352.0585317232
Dictyota,14365,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,2825230.46197266
Dictyota,14365,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,2825230.46197266
Dictyota,14365,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,2825230.46197266
Dictyota,14365,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,2825230.46197266
Dictyota,14690,17,Fatty amides,1,subclass,1,Library,dorcierr,1,Day,T0,3656369.5052734325
Dictyota,14690,17,Fatty amides,1,subclass,1,Library,dorcierr,2,Day,T0,3656369.5052734325
Dictyota,14690,17,Fatty amides,1,subclass,1,Library,dorcierr,3,Day,T0,3656369.5052734325
Dictyota,14690,17,Fatty amides,1,subclass,1,Library,dorcierr,4,Day,T0,3656369.5052734325
Dictyota,15644,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,1,Day,T0,1328622.7169843935
Dictyota,15644,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,2,Day,T0,1328622.7169843935
Dictyota,15644,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,3,Day,T0,1328622.7169843935
Dictyota,15644,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,4,Day,T0,1328622.7169843935
Dictyota,17992,59,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,10683878.018070282
Dictyota,17992,59,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,10683878.018070282
Dictyota,17992,59,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,10683878.018070282
Dictyota,17992,59,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,10683878.018070282
Dictyota,18574,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,2612268.0137539394
Dictyota,18574,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,2612268.0137539394
Dictyota,18574,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,2612268.0137539394
Dictyota,18574,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,2612268.0137539394
Dictyota,18933,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,4474550.276476568
Dictyota,18933,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,4474550.276476568
Dictyota,18933,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,4474550.276476568
Dictyota,18933,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,4474550.276476568
Dictyota,20183,200,Lipids and lipid-like molecules,0.5555555555555556,superclass,72,Insilico,dorcierr,1,Day,T0,122603516.04177827
Dictyota,20183,200,Lipids and lipid-like molecules,0.5555555555555556,superclass,72,Insilico,dorcierr,2,Day,T0,122603516.04177827
Dictyota,20183,200,Lipids and lipid-like molecules,0.5555555555555556,superclass,72,Insilico,dorcierr,3,Day,T0,122603516.04177827
Dictyota,20183,200,Lipids and lipid-like molecules,0.5555555555555556,superclass,72,Insilico,dorcierr,4,Day,T0,122603516.04177827
Pocillopora verrucosa,1681,87,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,33820174.791500196
Pocillopora verrucosa,1681,87,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,33820174.791500196
Pocillopora verrucosa,1681,87,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,33820174.791500196
Pocillopora verrucosa,1681,87,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,33820174.791500196
Pocillopora verrucosa,1949,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,1,Day,T0,5597791.117000122
Pocillopora verrucosa,1949,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,2,Day,T0,5597791.117000122
Pocillopora verrucosa,1949,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,3,Day,T0,5597791.117000122
Pocillopora verrucosa,1949,343,Glycerophosphoethanolamines,1,subclass,3,Library,dorcierr,4,Day,T0,5597791.117000122
Pocillopora verrucosa,2191,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,1,Day,T0,78071347.21910158
Pocillopora verrucosa,2191,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,2,Day,T0,78071347.21910158
Pocillopora verrucosa,2191,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,3,Day,T0,78071347.21910158
Pocillopora verrucosa,2191,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,4,Day,T0,78071347.21910158
Pocillopora verrucosa,2371,87,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,47326584.547760904
Pocillopora verrucosa,2371,87,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,47326584.547760904
Pocillopora verrucosa,2371,87,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,47326584.547760904
Pocillopora verrucosa,2371,87,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,47326584.547760904
Pocillopora verrucosa,2372,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,1,Day,T0,197127350.48635465
Pocillopora verrucosa,2372,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,2,Day,T0,197127350.48635465
Pocillopora verrucosa,2372,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,3,Day,T0,197127350.48635465
Pocillopora verrucosa,2372,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,4,Day,T0,197127350.48635465
Pocillopora verrucosa,2378,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,1,Day,T0,185887951.75864047
Pocillopora verrucosa,2378,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,2,Day,T0,185887951.75864047
Pocillopora verrucosa,2378,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,3,Day,T0,185887951.75864047
Pocillopora verrucosa,2378,155,Organic acids and derivatives,0.5238095238095238,superclass,21,Insilico,dorcierr,4,Day,T0,185887951.75864047
