feature_number,Organism,network,activity,xic,log10,ra,asin,log2_change,net_act,combined_ID,binary_ID,ZodiacMF,ZodiacScore,C,H,N,O,P,S,NOSC,dG
10228,Dictyota,72,recalcitrant,3959436.672812574,6.490667458295432,1.0307232999878075e-4,1.030723303382809e-4,-1.9988427110873426,72,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C22H33NO10,1,22,33,1,10,0,0,-0.45454545454545414,73.25454545454544
10231,Pocillopora verrucosa,-1,recalcitrant,26761232.693003945,7.170876663805686,6.810963819488606e-4,6.810965484029959e-4,-0.6723341518340562,-10231,no matches;no matches;no matches;no matches,3,C12H18O5,1,12,18,0,5,0,0,-0.666666666666667,79.30000000000001
10231,Porites lobata,-1,recalcitrant,2893783.2833241997,6.452635307443394,2.2651503595051914e-4,2.2651503793989666e-4,0.981367249762634,-10231,no matches;no matches;no matches;no matches,3,C12H18O5,1,12,18,0,5,0,0,-0.666666666666667,79.30000000000001
10240,Dictyota,20,recalcitrant,0,0,0,0,6.6,20,N-Acetyl-5-hydroxytryptamine,1,C6H17N3O2P,1,6,17,3,2,1,0,-1.5,103.05
10247,Dictyota,-1,recalcitrant,16648276.002146475,7.210617149718479,4.861460266702279e-4,4.8614605254805945e-4,-2.889298999980453,-10247,no matches;no matches;no matches;no matches,3,C15H16O2,1,15,16,0,2,0,0,-0.7999999999999998,83.1
10250,Dictyota,256,recalcitrant,1262679.7641015651,6.039269370991075,3.3464152961198995e-5,3.346415297032288e-5,-0.31539976341695336,256,"Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Amino acids, peptides, and analogues",3,C8H31N12O5,1,8,31,12,5,0,0,1.875,6.862499999999997
10263,Dictyota,-1,recalcitrant,27672751.357927706,7.435273713652112,8.034469249891027e-4,8.034470348842197e-4,0.07026527900021037,-10263,Janerin,2,C17H18O2,1,17,18,0,2,0,0,-0.8235294117647056,83.7705882352941
10268,Dictyota,165,recalcitrant,413215257.1027505,8.614816607131374,0.011847726607206024,0.011848040207352892,-0.020068801385820692,165,B10A09,2,C18H26O5,1,18,26,0,5,0,0,-0.8888888888888893,85.63333333333334
10269,Dictyota,165,recalcitrant,154234749.17653143,8.186332941590372,0.004429804892224125,0.004429821518195777,-0.0666281256788622,165,Prostaglandin A1 methyl ester,2,C18H24O4,1,18,24,0,4,0,0,-0.8888888888888893,85.63333333333334
10271,CCA,5094,recalcitrant,0,0,0,0,3.3,5094,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Terpene lactones,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10271,Dictyota,5094,recalcitrant,10340277.594984602,6.499045217629533,2.5641174853348504e-4,2.564117587626476e-4,-2.72250534226073,5094,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Terpene lactones,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10272,Dictyota,3714,recalcitrant,0,0,0,0,3.3,3714,Pentaethylene glycol,2,C3H21N15O,1,NA,NA,NA,NA,NA,NA,NA,NA
10272,Turf,3714,recalcitrant,0,0,0,0,1.65,3714,Pentaethylene glycol,2,C3H21N15O,1,NA,NA,NA,NA,NA,NA,NA,NA
10273,Dictyota,-1,recalcitrant,82097690.46813673,4.107680469120708,0.002021095913671421,0.002021101417598942,-2.694744735633767,-10273,Ethyl 3-hydroxybenzoate,2,C5H17N5OP,1,5,17,5,1,1,0,-1,88.8
10273,Pocillopora verrucosa,-1,recalcitrant,18252871.71950001,7.235465011180381,4.524320151332318e-4,4.5243203735729695e-4,-0.7890569280742078,-10273,Ethyl 3-hydroxybenzoate,2,C5H17N5OP,1,5,17,5,1,1,0,-1,88.8
10273,Porites lobata,-1,recalcitrant,2931724.2093749777,3.3840765915238284,2.595140209511347e-4,2.595140326028878e-4,-6.6,-10273,Ethyl 3-hydroxybenzoate,2,C5H17N5OP,1,5,17,5,1,1,0,-1,88.8
10274,Dictyota,627,recalcitrant,10269717.51323041,6.701459150845625,2.5776396229818845e-4,2.5776397113765927e-4,-1.2131727075696956,627,"15-Deoxy-.DELTA.12,14-prostaglandin D2",2,C17H33NO2P,0.893093093,17,33,1,2,1,0,-1.8235294117647056,112.2705882352941
10275,CCA,3965,recalcitrant,232985.64620312274,5.350554568988029,2.1402884661217694e-5,2.1402884662860907e-5,1.5925466937506298,3965,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C16H21N2O6,0.996096096,16,21,2,6,0,0,-0.1875,65.64375
10275,Dictyota,3965,recalcitrant,12579594.174679691,6.544962955765648,3.11560742568067e-4,3.115607612144494e-4,-4.672465936642086,3965,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C16H21N2O6,0.996096096,16,21,2,6,0,0,-0.1875,65.64375
10279,CCA,-1,recalcitrant,0,0,0,0,1.65,-10279,no matches;no matches;no matches;no matches,3,C20H47N4O5,1,20,47,4,5,0,0,-1.25,95.925
10279,Dictyota,-1,recalcitrant,0,0,0,0,1.65,-10279,no matches;no matches;no matches;no matches,3,C20H47N4O5,1,20,47,4,5,0,0,-1.25,95.925
10280,Dictyota,147,recalcitrant,68193448.38385156,6.868454505325545,0.0016803062533220648,0.0016803093798919211,-5.080642443876406,147,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,C11H19N11O5,1,11,19,11,5,0,0,2.1818181818181817,-1.8818181818181827
10283,Dictyota,-1,recalcitrant,4531597.982359375,3.4786407091711915,1.1155970542317322e-4,1.1155970634878917e-4,-3.0623431115732163,-10283,no matches;no matches;no matches;no matches,3,C16H28N2O8,0.964064064,16,28,2,8,0,0,-0.375,70.9875
10284,Dictyota,147,recalcitrant,3397117.4059961,6.020745339600501,8.425449580787075e-5,8.42544961699444e-5,-3.611182769695075,147,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,C17H25N5O8,1,17,25,5,8,0,0,0.3529411764705883,50.24117647058823
10287,Dictyota,2585,recalcitrant,1779788.6222422281,6.2344861467980675,4.8726039851771826e-5,4.872603987215491e-5,-0.40868690999860513,2585,Organic compounds;Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,3,C11H18O7,1,11,18,0,7,0,0,-0.3636363636363633,70.66363636363636
10288,Dictyota,627,recalcitrant,12101515.824183695,6.85299015801114,3.801238331807935e-4,3.8012386215828086e-4,-0.9091006640547505,627,all-trans-4-Hydroxyretinoic acid,2,C24H37N2O2,1,24,37,2,2,0,0,-1.125,92.3625
10289,CCA,459,recalcitrant,134467.8382324234,5.117348211933889,1.2498875005916212e-5,1.2498875006241703e-5,-0.8508574444885917,459,Organic compounds;Organoheterocyclic compounds;Diazanaphthalenes;nan,3,C18H25N2O8,1,18,25,2,8,0,0,-0.16666666666666696,65.05000000000001
10289,Dictyota,459,recalcitrant,3709786.758359377,6.48808993564001,9.747865214140951e-5,9.747865239394096e-5,-2.249563312397187,459,Organic compounds;Organoheterocyclic compounds;Diazanaphthalenes;nan,3,C18H25N2O8,1,18,25,2,8,0,0,-0.16666666666666696,65.05000000000001
10290,Dictyota,-1,recalcitrant,451756.2766406173,2.97796733582042,1.1121418391765023e-5,1.1121418392682065e-5,-2.0544567392895554,-10290,no matches;no matches;no matches;no matches,3,C16H28N5O5,1,16,28,5,5,0,0,-0.1875,65.64375
10293,CCA,-1,recalcitrant,65819.61213086134,2.5596943067425935,4.956385372051984e-6,4.956385372133155e-6,2.1827841013750833,-10293,".DELTA.2-Androstene-1.alpha.,17.beta.-diol acetate",2,C13H23N2O5P,1,13,23,2,5,1,0,-0.9230769230769234,86.6076923076923
10293,Porites lobata,-1,recalcitrant,322636.9203222659,5.400857555999419,2.7528395699830766e-5,2.7528395708224473e-5,-0.3870340727778695,-10293,".DELTA.2-Androstene-1.alpha.,17.beta.-diol acetate",2,C13H23N2O5P,1,13,23,2,5,1,0,-0.9230769230769234,86.6076923076923
10295,Dictyota,247,recalcitrant,11715228.361417966,6.468941327531161,2.898200677326252e-4,2.8982008296819426e-4,-3.750871935835705,247,"Organic compounds;Organoheterocyclic compounds;Organooxygen compounds;Amino acids, peptides, and analogues",3,C8H15NO5,1,8,15,1,5,0,0,-0.25,67.425
10296,Porites lobata,-1,recalcitrant,0,0,0,0,1.65,-10296,no matches;no matches;no matches;no matches,3,C14H28NO8P,1,14,28,1,8,1,0,-1,88.8
10299,CCA,-1,recalcitrant,0,0,0,0,3.3,-10299,no matches;no matches;no matches;no matches,3,C16H20N2O7,1,16,20,2,7,0,0,0,60.3
10299,Porites lobata,-1,recalcitrant,0,0,0,0,3.3,-10299,no matches;no matches;no matches;no matches,3,C16H20N2O7,1,16,20,2,7,0,0,0,60.3
10300,Dictyota,-1,recalcitrant,2437857.3487109668,6.213645920162807,6.238254203609801e-5,6.238254213194598e-5,0.3707036530717333,-10300,all-trans-4-Hydroxyretinoic acid,2,C24H33N3O5,1,24,33,3,5,0,0,-0.583333333333333,76.92499999999998
10301,Dictyota,247,recalcitrant,31478944.24439649,6.738593029173185,7.767586731071056e-4,7.767589763297168e-4,-3.872936108759337,247,O-Core1+N,2,C16H29NO10,0.988188188,16,29,1,10,0,0,-0.375,70.9875
10302,Dictyota,-1,recalcitrant,35721974.717062496,7.201451405285289,8.93441422124176e-4,8.934418082185313e-4,-3.0800476677897106,-10302,Mefenoxam,2,C13H16O4,1,13,16,0,4,0,0,-0.615384615384615,77.83846153846153
10303,CCA,-1,recalcitrant,71526925.3925293,7.854467284929522,0.007009525380859586,0.0070095918218586704,-0.14234907077828468,-10303,20.beta.-Hydroxyprednisolone,2,C13H18N2O4,0.998498498,13,18,2,4,0,0,-0.3076923076923075,69.06923076923076
10303,Dictyota,-1,recalcitrant,64957702.94102147,7.811760235907706,0.0018277526294540125,0.0018277536619603243,-0.03620953709216674,-10303,20.beta.-Hydroxyprednisolone,2,C13H18N2O4,0.998498498,13,18,2,4,0,0,-0.3076923076923075,69.06923076923076
10303,Pocillopora verrucosa,-1,recalcitrant,70609811.4314375,7.848778956114019,0.0017167442651365597,0.0017167451114969664,-0.94440586753608,-10303,20.beta.-Hydroxyprednisolone,2,C13H18N2O4,0.998498498,13,18,2,4,0,0,-0.3076923076923075,69.06923076923076
10303,Porites lobata,-1,recalcitrant,75916561.91704491,7.880236368354424,0.006057956927697675,0.0060579947938220625,-2.6600645670673124,-10303,20.beta.-Hydroxyprednisolone,2,C13H18N2O4,0.998498498,13,18,2,4,0,0,-0.3076923076923075,69.06923076923076
10305,CCA,-1,recalcitrant,101423.22264453012,2.6535847712312877,1.2256162518106812e-5,1.2256162519334173e-5,2.545686921674487,-10305,no matches;no matches;no matches;no matches,3,C4H5N11O2,1,NA,NA,NA,NA,NA,NA,NA,NA
10305,Dictyota,-1,recalcitrant,5233614.4002109375,6.178792666371439,1.29677526080997e-4,1.296775274179448e-4,-2.297874203482862,-10305,no matches;no matches;no matches;no matches,3,C4H5N11O2,1,NA,NA,NA,NA,NA,NA,NA,NA
10307,Dictyota,-1,recalcitrant,1872028.4989531296,3.286671283811821,4.6085938933678816e-5,4.6085938998933855e-5,-4.71334064578538,-10307,no matches;no matches;no matches;no matches,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10310,CCA,431,recalcitrant,2963689.4879843527,6.4708056267219245,2.9529130870320226e-4,2.9529131412372393e-4,-0.2272786717582991,431,Organic compounds;Organoheterocyclic compounds;Organooxygen compounds;nan,3,C21H45N9O5P2,0.358658659,21,45,9,5,2,0,-0.8571428571428568,84.72857142857141
10310,Dictyota,431,recalcitrant,9601726.784718707,6.980163565333367,2.688408038876148e-4,2.6884080713647084e-4,-1.1138309036351444,431,Organic compounds;Organoheterocyclic compounds;Organooxygen compounds;nan,3,C21H45N9O5P2,0.358658659,21,45,9,5,2,0,-0.8571428571428568,84.72857142857141
10312,Pocillopora verrucosa,80,depletolite,890371670.4440675,8.949489230203723,0.021648262001492134,0.021649959627991842,-0.8359801906308834,80,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C20H34O9,1,20,34,0,9,0,0,-0.7999999999999998,83.1
10312,Porites lobata,80,depletolite,200960487.6710621,8.302979678875456,0.016030868609255712,0.01603156930988814,-0.9886204091219217,80,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C20H34O9,1,20,34,0,9,0,0,-0.7999999999999998,83.1
10313,Dictyota,814,recalcitrant,2783454.6587656057,6.413089006023862,7.513858171051083e-5,7.513858179416024e-5,-1.1475479438343192,814,Lys Cys Gly,2,C15H19N2O6,0.996996997,15,19,2,6,0,0,-0.06666666666666643,62.19999999999999
10314,Dictyota,165,recalcitrant,6605699.602765642,6.791856904322719,1.9607913862968796e-4,1.9607914068165986e-4,1.1491506929440862,165,15(R)-15-Methylprostaglandin D2,2,C15H31NO4P,1,15,31,1,4,1,0,-1.666666666666667,107.80000000000001
10315,Dictyota,-1,recalcitrant,5642589.049271433,6.748678761697596,1.6250906612154316e-4,1.62509066962464e-4,1.1008864989664424,-10315,"1,2-Dihydrodesoxymetasone",1,C23H28N,0.903803804,23,28,1,0,0,0,-1.0869565217391308,91.27826086956523
10316,Dictyota,-1,recalcitrant,3073933.5814355477,6.139996628527156,7.690457415852523e-5,7.690457440379273e-5,-2.090388510209476,-10316,no matches;no matches;no matches;no matches,3,C17H26N2O9,0.82002002,17,26,2,9,0,0,-0.117647058823529,63.65294117647058
10317,Dictyota,980,depletolite,1426616.9397187964,6.143414849853908,3.9295000139238294e-5,3.929500014960465e-5,-2.7958164941855346,980,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Triterpenoids,3,C24H48N2O4,1,24,48,2,4,0,0,-1.416666666666667,100.67500000000001
10320,CCA,4418,recalcitrant,243542.05649023465,5.354658761804669,2.183447031382276e-5,2.18344703156755e-5,4.152039859049466,4418,Cytosine,2,C12H14N4O4,0.651151151,12,14,4,4,0,0,0.5,46.05
10320,Dictyota,4418,recalcitrant,4329752.066316408,6.2703027839966925,1.0817415489008413e-4,1.0817415558540374e-4,-3.3179558698093774,4418,Cytosine,2,C12H14N4O4,0.651151151,12,14,4,4,0,0,0.5,46.05
10323,Dictyota,709,recalcitrant,5558197.29774414,6.511635055548973,1.4076955457528677e-4,1.4076955584753738e-4,-2.3345387834610243,709,"L-Glutamic acid, dimethyl ester",1,C7H13NO4,1,7,13,1,4,0,0,-0.2857142857142856,68.44285714285714
10324,Dictyota,-1,recalcitrant,3159116.8719863184,6.112745042972601,7.88171522558998e-5,7.881715252992208e-5,-3.4098313732390384,-10324,no matches;no matches;no matches;no matches,3,C17H26N2O4,1,17,26,2,4,0,0,-0.7058823529411766,80.41764705882353
10327,Dictyota,-1,recalcitrant,1330690.6685156361,6.0732767291435366,3.547526814379815e-5,3.5475268153898976e-5,-2.267762888976682,-10327,no matches;no matches;no matches;no matches,3,C18H25N2O6,0.935835836,18,25,2,6,0,0,-0.3888888888888893,71.38333333333334
10329,CCA,-1,recalcitrant,259830.08182128894,5.411541600925782,2.619203303412659e-5,2.6192033038175974e-5,2.942922271869579,-10329,Genipin,2,C8H10O5,1,8,10,0,5,0,0,0,60.3
10329,Dictyota,-1,recalcitrant,14920486.890791018,7.096651251845134,3.927211766545331e-4,3.9272119279292996e-4,-1.3312169718336069,-10329,Genipin,2,C8H10O5,1,8,10,0,5,0,0,0,60.3
10330,Dictyota,-1,recalcitrant,645157.7577500024,5.809649223863103,1.832816695976407e-5,1.832816696085157e-5,0.49114006473750843,-10330,no matches;no matches;no matches;no matches,3,C15H29NO2P,1,15,29,1,2,1,0,-1.7999999999999998,111.6
10332,CCA,-1,recalcitrant,85592.54219140272,2.61673422911511,1.0343154950936889e-5,1.0343154951674568e-5,-0.9961459630500422,-10332,no matches;no matches;no matches;no matches,3,C24H48N2O3,1,24,48,2,3,0,0,-1.5,103.05
10332,Dictyota,-1,recalcitrant,9477073.657646548,6.264451223825992,2.3398469809070627e-4,2.339847063181763e-4,-6.380406021754751,-10332,no matches;no matches;no matches;no matches,3,C24H48N2O3,1,24,48,2,3,0,0,-1.5,103.05
10334,Dictyota,-1,recalcitrant,3363690.2121445434,6.392023512205148,8.685141730440381e-5,8.68514175322354e-5,-1.8584096346427097,-10334,no matches;no matches;no matches;no matches,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10336,Dictyota,147,recalcitrant,3145722.8860234404,6.043908443746556,7.819708730145622e-5,7.81970875823692e-5,-2.6742081064748175,147,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,C16H23N5O8,1,16,23,5,8,0,0,0.5,46.05
10337,CCA,3292,recalcitrant,308560.39144531183,5.4880500004787205,2.9720138971597698e-5,2.9720138976300554e-5,1.974048125042775,3292,"5(Z),8(Z),11(Z)-Eicosatrienoic acid methyl ester",2,C16H31NO4,1,16,31,1,4,0,0,-1.25,95.925
10338,Dictyota,-1,recalcitrant,32491916.306828126,7.376362984385585,0.001005116927413829,0.0010051173794052783,-2.307940532372419,-10338,no matches;no matches;no matches;no matches,3,C26H39N,1,26,39,1,0,0,0,-1.384615384615385,99.76153846153846
10338,Pocillopora verrucosa,-1,recalcitrant,33277469.663322315,7.278565245555507,7.734958867933815e-4,7.734961129220066e-4,-1.075268322018626,-10338,no matches;no matches;no matches;no matches,3,C26H39N,1,26,39,1,0,0,0,-1.384615384615385,99.76153846153846
10338,Turf,-1,recalcitrant,29504512.35050392,3.8854592220274373,0.002108275755399615,0.0021082820027297886,-1.9412528579260244,-10338,no matches;no matches;no matches;no matches,3,C26H39N,1,26,39,1,0,0,0,-1.384615384615385,99.76153846153846
10339,Dictyota,1921,recalcitrant,6695428.333109351,6.516551192907616,1.680652968451092e-4,1.680652992925086e-4,-4.499854163253139,1921,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C15H32NO9P,0.955855856,15,32,1,9,1,0,-1.0666666666666664,90.69999999999999
