ecoNetConsensus,Replicate,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf
Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoethanolamines,1,-0.6617696539569052,-0.5311430309701712,1.894834229306313,-0.04015189042233135,-0.6617696539569052
Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoethanolamines,2,-0.6617696539569052,-0.5311430309701712,1.894834229306313,-0.04015189042233135,-0.6617696539569052
Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoethanolamines,3,-0.6617696539569052,-0.5311430309701712,1.894834229306313,-0.04015189042233135,-0.6617696539569052
Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoethanolamines,4,-0.6617696539569052,-0.5311430309701712,1.894834229306313,-0.04015189042233135,-0.6617696539569052
Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,1,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,2,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,3,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,4,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
Lipids and lipid-like molecules;Steroids and steroid derivatives;Estrane steroids,1,0.8214355698607176,-1.1876123704902302,0.6231627974673265,0.9306263736524161,-1.1876123704902302
Lipids and lipid-like molecules;Steroids and steroid derivatives;Estrane steroids,2,0.8214355698607176,-1.1876123704902302,0.6231627974673265,0.9306263736524161,-1.1876123704902302
Lipids and lipid-like molecules;Steroids and steroid derivatives;Estrane steroids,3,0.8214355698607176,-1.1876123704902302,0.6231627974673265,0.9306263736524161,-1.1876123704902302
Lipids and lipid-like molecules;Steroids and steroid derivatives;Estrane steroids,4,0.8214355698607176,-1.1876123704902302,0.6231627974673265,0.9306263736524161,-1.1876123704902302
Lipids and lipid-like molecules;Steroids and steroid derivatives;Hydroxysteroids,1,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817
Lipids and lipid-like molecules;Steroids and steroid derivatives;Hydroxysteroids,2,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817
Lipids and lipid-like molecules;Steroids and steroid derivatives;Hydroxysteroids,3,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817
Lipids and lipid-like molecules;Steroids and steroid derivatives;Hydroxysteroids,4,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817
Organic acids and derivatives,1,-0.7121662710536798,-0.2727563212965365,1.902391453046842,-0.205302589642946,-0.7121662710536798
Organic acids and derivatives,2,-0.7121662710536798,-0.2727563212965365,1.902391453046842,-0.205302589642946,-0.7121662710536798
Organic acids and derivatives,3,-0.7121662710536798,-0.2727563212965365,1.902391453046842,-0.205302589642946,-0.7121662710536798
Organic acids and derivatives,4,-0.7121662710536798,-0.2727563212965365,1.902391453046842,-0.205302589642946,-0.7121662710536798
Organic acids and derivatives;Carboximidic acids and derivatives;Carboximidic acids,1,-1.172554728712533,1.0736545250526126,0.775723813736231,0.49573111863622304,-1.172554728712533
Organic acids and derivatives;Carboximidic acids and derivatives;Carboximidic acids,2,-1.172554728712533,1.0736545250526126,0.775723813736231,0.49573111863622304,-1.172554728712533
Organic acids and derivatives;Carboximidic acids and derivatives;Carboximidic acids,3,-1.172554728712533,1.0736545250526126,0.775723813736231,0.49573111863622304,-1.172554728712533
Organic acids and derivatives;Carboximidic acids and derivatives;Carboximidic acids,4,-1.172554728712533,1.0736545250526126,0.775723813736231,0.49573111863622304,-1.172554728712533
Organic acids and derivatives;Carboxylic acids and derivatives,1,-0.4873397172404481,-0.4873397172404481,1.9493588689617924,-0.4873397172404481,-0.4873397172404481
Organic acids and derivatives;Carboxylic acids and derivatives,2,-0.4873397172404481,-0.4873397172404481,1.9493588689617924,-0.4873397172404481,-0.4873397172404481
Organic acids and derivatives;Carboxylic acids and derivatives,3,-0.4873397172404481,-0.4873397172404481,1.9493588689617924,-0.4873397172404481,-0.4873397172404481
Organic acids and derivatives;Carboxylic acids and derivatives,4,-0.4873397172404481,-0.4873397172404481,1.9493588689617924,-0.4873397172404481,-0.4873397172404481
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",1,-1.8640920911204186,0.5427631211147687,-0.07241711369874623,0.7419316642397764,0.6518144194646187
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",2,-1.8640920911204186,0.5427631211147687,-0.07241711369874623,0.7419316642397764,0.6518144194646187
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,-1.8640920911204186,0.5427631211147687,-0.07241711369874623,0.7419316642397764,0.6518144194646187
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",4,-1.8640920911204186,0.5427631211147687,-0.07241711369874623,0.7419316642397764,0.6518144194646187
Organic nitrogen compounds,1,0.7517186711184126,-0.8371739435875727,1.5511816741357232,-0.6897511420545133,-0.7759752596120504
Organic nitrogen compounds,2,0.7517186711184126,-0.8371739435875727,1.5511816741357232,-0.6897511420545133,-0.7759752596120504
Organic nitrogen compounds,3,0.7517186711184126,-0.8371739435875727,1.5511816741357232,-0.6897511420545133,-0.7759752596120504
Organic nitrogen compounds,4,0.7517186711184126,-0.8371739435875727,1.5511816741357232,-0.6897511420545133,-0.7759752596120504
Organic oxygen compounds,1,0.39574178761797474,-0.10818635752751399,-0.9670694867256019,-0.9670694867256019,1.6465835433607434
Organic oxygen compounds,2,0.39574178761797474,-0.10818635752751399,-0.9670694867256019,-0.9670694867256019,1.6465835433607434
Organic oxygen compounds,3,0.39574178761797474,-0.10818635752751399,-0.9670694867256019,-0.9670694867256019,1.6465835433607434
Organic oxygen compounds,4,0.39574178761797474,-0.10818635752751399,-0.9670694867256019,-0.9670694867256019,1.6465835433607434
Organic oxygen compounds;Organooxygen compounds;Alcohols and polyols,1,-0.6911604014303274,0.2727936975081289,1.8006875067828536,-0.6911604014303274,-0.6911604014303274
Organic oxygen compounds;Organooxygen compounds;Alcohols and polyols,2,-0.6911604014303274,0.2727936975081289,1.8006875067828536,-0.6911604014303274,-0.6911604014303274
Organic oxygen compounds;Organooxygen compounds;Alcohols and polyols,3,-0.6911604014303274,0.2727936975081289,1.8006875067828536,-0.6911604014303274,-0.6911604014303274
Organic oxygen compounds;Organooxygen compounds;Alcohols and polyols,4,-0.6911604014303274,0.2727936975081289,1.8006875067828536,-0.6911604014303274,-0.6911604014303274
Organoheterocyclic compounds;Quinolines and derivatives;Haloquinolines,1,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
Organoheterocyclic compounds;Quinolines and derivatives;Haloquinolines,2,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
Organoheterocyclic compounds;Quinolines and derivatives;Haloquinolines,3,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
Organoheterocyclic compounds;Quinolines and derivatives;Haloquinolines,4,1.9493588689617927,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817,-0.48733971724044817
