DayNight,feature_number,CCA_log2,Dictyota_log2,Pocillopora verrucosa_log2,Porites lobata_log2,Turf_log2,Water control_log2,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,CCA_xic,Dictyota_xic,Pocillopora verrucosa_xic,Porites lobata_xic,Turf_xic,Water control_xic,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,ZodiacMF,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,inchi,inchi_key
Day,10236,-8.215738489905677,7.398424220977452,0,0,0,5.758696757561561,CCA,0.9999999999909372,9.06269139216446e-12,0.9999999999998594,4.34888027848063e-10,depletolite,297292.3417968753,1000,1000,1000,1000,1000,396,Plumbagine,2,Carbonyl compounds,0.96,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C21H30O4,Bad quality,21,30,0,4,0,0,-1.0476190476190474,90.15714285714284,2,N/A,uncharacterized,"InChI=1S/C21H30O4/c1-13-9-14(10-15(24)11-22)19(2,12-23)16-5-7-20(3)17(18(13)16)6-8-21(20,4)25/h10-13,16-18,25H,5-9H2,1-4H3",SCWSKEMJIZCJTJ-UHFFFAOYSA-N
Day,10266,-2.3501137949950195,-1.3602465901453493,-3.538361398933575,-3.1079383665358407,-2.1722257883703073,-0.9832193472780545,CCA,0.9979645843030323,0.002035415696967765,0.9999999999998594,0.03138282260608288,depletolite,1259483.2306406044,700031.1915039055,4070234.861210897,1558299.0157324183,743210.8108711028,505302.2714589848,637,Simvastatin 4'-methyl ether,2,Carboxylic acid derivatives,0.99,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,C23H36O4,Good,23,36,0,4,0,0,-1.2173913043478262,94.99565217391304,2,"InChI=1S/C26H40O5/c1-7-26(4,5)25(28)31-22-13-16(2)12-18-9-8-17(3)21(24(18)22)11-10-19-14-20(29-6)15-23(27)30-19/h8-9,12,16-17,19-22,24H,7,10-11,13-15H2,1-6H3/t16-,17-,19+,20+,21-,22-,24-/m0/s1",CHO,"InChI=1S/C23H36O4/c1-15(27-16(2)24)21(3)13-10-18-17(14-21)8-9-19-22(18,4)11-7-12-23(19,5)20(25)26-6/h14-15,18-19H,7-13H2,1-6H3",NIZDTKKFYLYFHL-UHFFFAOYSA-N
Day,10300,-6.591381610263273,0.6464914051579357,-0.1405747955357334,5.541241701056136,0,0,CCA,0.9999999999969076,3.0924013374230754e-12,0.9999999999998594,1.7219426221703383e-10,depletolite,96428.09288671946,2437857.3487109668,44795.519091796545,1000,1000,1000,-1,all-trans-4-Hydroxyretinoic acid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C24H33N3O5,Good,24,33,3,5,0,0,-0.583333333333333,76.92499999999998,2,"InChI=1S/C20H28O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13,18,21H,11-12H2,1-5H3,(H,22,23)/b8-6+,10-9+,14-7+,15-13+",CHON,"InChI=1S/C24H33N3O5/c25-14-8-2-1-5-11-19-22(30)20(12-6-3-9-15-26-17-28)24(32)21(23(19)31)13-7-4-10-16-27-18-29/h19-21H,1-13,15-16H2",JBAGGTCDRYLJFJ-UHFFFAOYSA-N
Day,10423,-2.780032445992036,-4.177161279554183,-2.184571249521693,1.5814169170707446,-2.6491817929391748,-4.913584512592853,CCA,0.9986861466412533,0.0013138533587466542,0.9999999999998594,0.022255522632776026,depletolite,1381679.0111523536,778587.2650703131,2429702.222039072,362221.829968751,1039337.7107304506,2297079.5445000185,-1,Primary amines,N/A,Primary amines,0.92,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,C14H30N14O6,Low probability,14,30,14,6,0,0,1.7142857142857144,11.442857142857136,3,N/A,uncharacterized,NA,NA
Day,10454,-1.066791810750521,1.137795828115364,0.23877625739270408,0.7054310098177322,0.31283986859905066,-0.04396705397760199,CCA,0.9983087752996421,0.0016912247003578993,0.9999999999998594,0.027094697564005277,depletolite,1962140.8196015656,955789.4777519526,1218444.943195313,1569185.3384687495,1262546.7717324179,1216017.8331835938,952,1-Methyl-4-benzylpiperazine,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C11H26N2O2P,Good,11,26,2,2,1,0,-1.9090909090909092,114.70909090909092,2,"InChI=1S/C12H18N2/c1-13-7-9-14(10-8-13)11-12-5-3-2-4-6-12/h2-6H,7-11H2,1H3",CHONP,NA,NA
Day,10502,-1.7525507322067706,-0.09000789472405055,1.077198561458204,-2.737603718308607,0.36994565328374585,0.0013932977559586175,CCA,0.9970310347739556,0.0029689652260443977,0.9999999999998594,0.04159356962452531,depletolite,666103.1186366971,2993227.0379043166,498330.522509771,1466025.5145995992,109694.16447265686,260024.45180664616,1291,Lipids and lipid-like molecules#Organoheterocyclic compounds#Benzenoids#Organic nitrogen compounds,3,Carbonyl compounds,0.95,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C19H35NO5,Good,19,35,1,5,0,0,-1.1578947368421053,93.3,3,N/A,CHON,"InChI=1S/C19H35NO5/c1-16(19(24)25)20-17(21)14-12-10-8-6-4-2-3-5-7-9-11-13-15-18(22)23/h16H,2-15H2,1H3,(H,20,21)(H,22,23)(H,24,25)",QOHUPNQFTURSPO-UHFFFAOYSA-N
Day,10539,-0.8319439419223095,-3.861056685373891,-1.237909119604951,-2.24019874709755,-3.7065507683336016,10.265707569190969,CCA,0.9971933633759762,0.002806636624023795,0.9999999999998594,0.039855498476609554,depletolite,4192610.7353925444,3247059.2823808696,2210344.5764374966,3114727.486070304,865697.6889531327,1000,-1,(-)-Caryophyllene oxide,2,Amines,0.86,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,C17H36N2O2P,Good,17,36,2,2,1,0,-1.8235294117647056,112.2705882352941,2,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",CHONP,NA,NA
Day,10634,-5.631848297937199,-2.885420729291709,-3.809198607932538,-7.065756678056732,0.874044168381343,-7.510337940423859,CCA,0.9999999999755164,2.4483645471182204e-11,0.9999999999998594,7.094613528879937e-10,depletolite,49585.565292969026,7022834.472773405,568133.3227109364,133969.11923437685,45206.46498242101,182321.12738280743,-1,Primary amines,N/A,Primary amines,0.99,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,C10H37N16O4,Low probability,10,37,16,4,0,0,1.9,6.149999999999999,3,N/A,uncharacterized,NA,NA
Day,10669,-4.875369718443213,1.707672382654927,-1.3319964108647606,-0.3263636668724072,2.7814418017921976,-0.8096133599919348,CCA,0.9991244142002019,8.755857997980935e-4,0.9999999999998594,0.016103301467781096,depletolite,37328.01604785027,3915667.4388983725,57457.258844605836,80844.22111914406,1000,7356.664332763868,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C25H40N8,Bad quality,25,40,8,0,0,0,-0.6399999999999997,78.53999999999999,3,N/A,uncharacterized,NA,NA
Day,10670,-4.03365295105048,0.26518681384803255,0.13052676478983058,0.11325649780115243,-1.1436106246123485,-0.21128631051566718,CCA,0.9971221064476179,0.0028778935523820744,0.9999999999998594,0.04059435859413237,depletolite,49637631.47071096,58666978.57014457,5093439.687515626,2666636.5599609134,2245105.1395742176,3940490.6512949085,3485,Organoheterocyclic compounds#Organic oxygen compounds#Lipids and lipid-like molecules,3,Ethers,0.98,CHEMONTID:0000254,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000254,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,C23H35NO12,Low probability,23,35,1,12,0,0,-0.3478260869565215,70.21304347826086,3,N/A,uncharacterized,"InChI=1S/C23H35NO12/c1-11-2-4-12(5-3-11)13(6-7-16(24)27)33-9-15-17(28)19(30)20(31)22(34-15)36-23(10-26)21(32)18(29)14(8-25)35-23/h2-5,13-15,17-22,25-26,28-32H,6-10H2,1H3,(H2,24,27)",DOZFPKLEXSYLPP-UHFFFAOYSA-N
Day,10671,-8.842520949418315,-7.258568814510705,-1.8622629295241302,-9.730822980757756,-5.770117391538825,-0.06617936658012255,CCA,0.9999999999987199,1.280051171458858e-12,0.9999999999998594,1.502996197087392e-10,depletolite,459054.2822871087,9386876.655355405,717244.8714413971,849707.7897714834,54573.07348242229,119173.5314003893,21,"trans-2-Butene-1,4-dicarboxylic acid",2,Amines,0.96,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,C14H27NO4,Good,14,27,1,4,0,0,-1.1428571428571432,92.87142857142858,2,"InChI=1S/C6H8O4/c7-5(8)3-1-2-4-6(9)10/h1-2H,3-4H2,(H,7,8)(H,9,10)/b2-1+",CHON,"InChI=1S/C14H27NO4/c1-5-6-7-8-9-14(18)19-12(10-13(16)17)11-15(2,3)4/h12H,5-11H2,1-4H3",VDPCTFWULDLKHT-UHFFFAOYSA-N
Day,10681,-3.386893902615793,-1.4319178601012836,-0.20009839911694807,-3.680428414391715,-1.2399537557321754,-4.788821742552604,CCA,0.9998463398562341,1.536601437659478e-4,0.9999999999998594,0.003505599915467117,depletolite,1122012.602203127,4199595.095960928,715928.0442187508,1025345.1878124997,486985.82703711174,614321.1301171886,1291,Spectral Match to N-Lauroylsarcosine from NIST14,2,Monocarboxylic acids and derivatives,0.83,CHEMONTID:0001137,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001137,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,NA,NA,NA,C17H33NO5,Good,17,33,1,5,0,0,-1.1764705882352944,93.8294117647059,2,N/A,CHON,"InChI=1S/C17H33NO5/c1-2-3-4-5-6-7-8-9-10-11-14(20)12-16(21)18-15(13-19)17(22)23/h14-15,19-20H,2-13H2,1H3,(H,18,21)(H,22,23)",YHDAOLOJCJJQDK-UHFFFAOYSA-N
Day,10693,-7.990704446707089,-5.9354236407481284,-9.035321480610925,-9.0525963400789,-8.383331321350527,-2.8318643154589673,CCA,0.9999999999980539,1.946088538434793e-12,0.9999999999998594,1.511379512365456e-10,depletolite,254355.8467226589,2488627.4275058582,524689.9988124941,531010.4122851619,333913.6641835937,642959.4742656262,3245,Lipids and lipid-like molecules,3,Carboxylic acid derivatives,0.96,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,C21H47N2O8,Good,21,47,2,8,0,0,-1.1904761904761907,94.22857142857143,3,N/A,CHON,NA,NA
Day,10694,-0.6780246293156719,-0.0425418404532438,-0.5990849816732812,-0.042128019538313376,-1.377925613240766,-0.9780403117553013,CCA,0.9962257670606365,0.0037742329393635654,0.9999999999998594,0.04961199400969566,depletolite,4763500.319999991,25808501.816742186,6942550.169609363,3267541.4691250115,7661232.188750005,6131933.057351561,505,Tyr-Leu,2,Carbonyl compounds,0.99,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C14H18N2O5,Good,14,18,2,5,0,0,-0.14285714285714324,64.37142857142858,2,"InChI=1S/C15H22N2O4/c1-9(2)7-13(15(20)21)17-14(19)12(16)8-10-3-5-11(18)6-4-10/h3-6,9,12-13,18H,7-8,16H2,1-2H3,(H,17,19)(H,20,21)/t12-,13-/m0/s1",CHON,"InChI=1S/C14H18N2O5/c15-10(6-7-12(17)18)13(19)16-11(14(20)21)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8,15H2,(H,16,19)(H,17,18)(H,20,21)",XMBSYZWANAQXEV-UHFFFAOYSA-N
Day,10698,-2.0761420788673766,-3.790225721489682,-3.2553580120370937,-2.1136723651409426,-2.825849799833664,-1.7762806007593042,CCA,0.9989991949636103,0.0010008050363896044,0.9999999999998594,0.01793781917640032,depletolite,483800.5236896874,2012102.9516011036,1762261.2147099655,582291.0836132837,763938.4383557243,463598.82717431046,466,Benzenoids#Lipids and lipid-like molecules,3,Dialkyl ethers,0.99,CHEMONTID:0001167,5,CHEMONTID:0000254,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000254;CHEMONTID:0001167,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,NA,NA,NA,C24H51NO6,Good,24,51,1,6,0,0,-1.5,103.05,3,N/A,CHON,"InChI=1S/C24H51NO6/c1-2-3-4-5-6-7-8-9-10-11-12-25-13-15-27-17-19-29-21-23-31-24-22-30-20-18-28-16-14-26/h25-26H,2-24H2,1H3",CFGPREJTPSBXHY-UHFFFAOYSA-N
Day,10702,-8.219143168336675,-3.528909236589672,-3.3567842830987304,-8.319961184052215,-0.9364092021657271,-3.419119329596321,CCA,0.9999999999982612,1.7388397044937505e-12,0.9999999999998594,1.503936035151875e-10,depletolite,297994.7633652292,3534521.7907265713,435371.5923046848,319564.02248046844,41717.421093749545,323764.1632539044,336,Lipids and lipid-like molecules#Organic oxygen compounds,3,Carbonyl compounds,0.87,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C25H36O4,Good,25,36,0,4,0,0,-1.12,92.22,3,N/A,CHO,"InChI=1S/C25H36O4/c1-4-22(27)29-15-5-11-25(28)14-10-21-19-7-6-17-16-18(26)8-12-23(17,2)20(19)9-13-24(21,25)3/h6-7,16,19-21,28H,4-5,8-15H2,1-3H3",KQVOIJGAVZZNRN-UHFFFAOYSA-N
Day,10716,-0.7690600356214582,-0.4417867055936227,1.207622092367151,-1.741353638960577,3.061003704192318,-0.005897935425729265,CCA,0.9999999964720758,3.5279241634327204e-9,0.9999999999998594,8.88640771384239e-8,depletolite,1704.159104736184,4468197.677972632,10366.582426880019,11744.516683470829,1000,2115.130455078217,199,Lipids and lipid-like molecules#Organoheterocyclic compounds,3,Monoalkylamines,0.99,CHEMONTID:0000469,6,CHEMONTID:0002450,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450;CHEMONTID:0000469,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,Monoalkylamines,NA,NA,C22H54N6O4P,Good,22,54,6,4,1,0,-1.5,103.05,3,N/A,CHONP,NA,NA
Day,10728,-7.743777477072822,-10.958953264698229,-12.451956504000492,-9.336437204308218,-6.1105389480948515,-2.8221791669389087,CCA,0.9999999999980074,1.9925732232632278e-12,0.9999999999998594,1.5128819014411834e-10,depletolite,214342.99774414714,1990552.5794999667,5602894.07985938,646468.921183588,69096.41468750058,114834.71182031462,1969,Monocarboxylic acids and derivatives,N/A,Monocarboxylic acids and derivatives,0.82,CHEMONTID:0001137,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001137,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,NA,NA,NA,C23H43N2O3,Low probability,23,43,2,3,0,0,-1.3478260869565215,98.71304347826086,3,N/A,uncharacterized,"InChI=1S/C23H43N2O3/c1-5-6-7-8-9-10-11-12-13-14-15-18-23(19-16-17-21(26)27)24-20(2)22(3,4)25(23)28/h5-19H2,1-4H3,(H,26,27)",HXPKRMMVVQWIJW-UHFFFAOYSA-N
