feature_number,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,benthic_exudate,microbial_accumulite,DayNight,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,number_exudate_organisms,exudate_type,lability
1087,193,Palmitoleoyl ethanolamide,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad quality,16,35,1,1,0,0,-1.875,113.7375,1,"InChI=1S/C18H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)19-16-17-20/h7-8,20H,2-6,9-17H2,1H3,(H,19,21)/b8-7-",uncharacterized,background,background,Night,NA,NA,NA,0.014836287945075443,NA,1,Porites lobata,labile
10881,1922,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.98,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,27,47,1,12,0,0,-0.7407407407407405,81.4111111111111,3,N/A,CHON,background,background,Night,NA,NA,2.9714042137235605e-6,NA,NA,1,Pocillopora verrucosa,labile
10987,1100,Organoheterocyclic compounds,3,Carbonyl compounds,0.9,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,21,33,2,6,0,0,-0.7142857142857144,80.65714285714286,3,N/A,CHON,background,background,Night,5.375453503574893e-4,NA,NA,NA,NA,1,CCA,labile
10993,-1,Tetranorprostaglandin J2,2,"1,2-aminoalcohols",0.91,CHEMONTID:0001897,6,CHEMONTID:0002460,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002460;CHEMONTID:0001897,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Alkanolamines,"1,2-aminoalcohols",NA,NA,Good,16,35,1,2,0,0,-1.75,110.175,2,"InChI=1S/C16H22O6/c17-12(3-1-2-4-15(19)20)7-8-13-11(5-9-14(13)18)6-10-16(21)22/h5,9,11,13H,1-4,6-8,10H2,(H,19,20)(H,21,22)/t11-,13-/m1/s1",CHON,background,background,Night,NA,NA,0.008706064875036895,0.018192642607924237,NA,2,Coral,labile
11073,80,Organic acids and derivatives,3,Primary amines,0.81,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,background,background,Night,1.9649445365990838e-7,NA,NA,NA,NA,1,CCA,labile
11076,-1,N.epsilon.-Methyl-L-lysine,2,Amines,0.98,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,15,30,2,3,0,0,-1.2000000000000002,94.5,2,"InChI=1S/C7H16N2O2/c1-9-5-3-2-4-6(8)7(10)11/h6,9H,2-5,8H2,1H3,(H,10,11)",CHON,background,background,Night,0.0480975825444042,NA,NA,NA,NA,1,CCA,labile
11130,1704,Spectral Match to Acetyl-L-carnitine from NIST14,2,Carbonyl compounds,0.86,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,20,39,1,6,0,0,-1.2000000000000002,94.5,2,N/A,CHON,background,background,Night,NA,NA,0.002951489906524751,NA,NA,1,Pocillopora verrucosa,labile
11155,21,3-Hydroxyhexadecanoylcarnitine,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,23,45,1,5,0,0,-1.391304347826087,99.95217391304348,1,"InChI=1S/C23H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)17-23(28)29-21(18-22(26)27)19-24(2,3)4/h20-21,25H,5-19H2,1-4H3/t20?,21-/m1/s1",CHON,background,background,Night,NA,NA,0.014041561134105214,NA,NA,1,Pocillopora verrucosa,labile
1118,343,O-Arachidonoylglycidol,2,Dialkyl phosphates,1,CHEMONTID:0003459,6,CHEMONTID:0003457,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000402;CHEMONTID:0000408;CHEMONTID:0003457;CHEMONTID:0003459,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,Dialkyl phosphates,NA,NA,Good,25,44,1,7,1,0,-1.2800000000000002,96.78,2,"InChI=1S/C23H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(24)26-21-22-20-25-22/h6-7,9-10,12-13,15-16,22H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-",CHONP,background,background,Night,NA,NA,NA,3.0129699754906377e-6,NA,1,Porites lobata,labile
11190,1153,3-Hydroxyacetaminophen,2,Carboxylic acid derivatives,0.96,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,14,19,1,2,0,0,-0.8571428571428568,84.72857142857141,2,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",CHON,background,background,Night,NA,NA,0,3.3477460569779275e-12,NA,2,Coral,labile
11197,21,Linoleoylcarnitine,2,Carboxylic acid derivatives,0.9,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,21,39,1,5,0,0,-1.2380952380952381,95.58571428571429,2,"InChI=1S/C25H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,23H,5-8,11,14-22H2,1-4H3/b10-9-,13-12-/t23-/m1/s1",CHON,background,background,Night,NA,NA,0.02933774206900999,0.0025877781810657212,NA,2,Coral,labile
11247,21,3-Hydroxyhexadecanoylcarnitine,1,Carbonyl compounds,0.85,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,23,45,1,5,0,0,-1.391304347826087,99.95217391304348,1,"InChI=1S/C23H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)17-23(28)29-21(18-22(26)27)19-24(2,3)4/h20-21,25H,5-19H2,1-4H3/t20?,21-/m1/s1",CHON,background,background,Night,NA,NA,0.006996325927364267,NA,NA,1,Pocillopora verrucosa,labile
11260,2117,Benzenoids#Organic acids and derivatives,3,Monoalkylamines,0.96,CHEMONTID:0000469,6,CHEMONTID:0002450,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450;CHEMONTID:0000469,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,Monoalkylamines,NA,NA,Low probability,20,40,1,6,1,0,-1.5,103.05,3,N/A,uncharacterized,background,background,Night,NA,NA,2.6864359942939993e-10,NA,NA,1,Pocillopora verrucosa,labile
11284,-1,Primary amines,N/A,Primary amines,0.97,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Bad quality,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,background,background,Night,NA,NA,4.2065461672963867e-10,NA,NA,1,Pocillopora verrucosa,labile
11299,21,L-Arachidonoylcarnitine,2,Carbonyl compounds,0.82,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,21,39,1,6,0,0,-1.1428571428571432,92.87142857142858,2,N/A,CHON,background,background,Night,NA,NA,3.831787076952902e-4,NA,NA,1,Pocillopora verrucosa,labile
11313,21,3-Hydroxyoleylcarnitine,2,Primary amines,0.96,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,7,31,14,4,0,0,2.7142857142857144,-17.057142857142864,2,N/A,CHON,background,background,Night,NA,NA,0.011997120759267775,0.002177915839718979,NA,2,Coral,labile
11340,2035,Benzenoids,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,background,background,Night,NA,NA,NA,0.034697393693522594,NA,1,Porites lobata,labile
11350,21,3-Hydroxyoleylcarnitine,2,Primary amines,0.98,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,9,35,14,3,0,0,1.4444444444444446,19.133333333333326,2,N/A,CHON,background,background,Night,NA,NA,0.0034924789056802064,0.019101762598933102,NA,2,Coral,labile
11361,2232,Phenylpropanoids and polyketides,3,Carbonyl compounds,0.97,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Low probability,23,31,3,5,0,0,-0.5217391304347823,75.1695652173913,3,N/A,uncharacterized,background,background,Night,NA,NA,NA,9.029460949445078e-4,NA,1,Porites lobata,labile
11430,141,p-Fluoro-L-phenylalanine,2,Organic phosphonic acids,0.87,CHEMONTID:0001302,4,CHEMONTID:0000419,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000419;CHEMONTID:0001302,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,2,"InChI=1S/C9H10FNO2/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)/t8-/m0/s1",uncharacterized,background,background,Night,1.3060027432454832e-4,NA,0.007373013255092128,NA,NA,2,Corraline,labile
11466,709,DL-Threonine methyl ester,2,Carbonyl compounds,0.96,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,11,21,1,4,0,0,-0.9090909090909092,86.2090909090909,2,"InChI=1S/C5H11NO3/c1-3(7)4(6)5(8)9-2/h3-4,7H,6H2,1-2H3",CHON,background,background,Night,NA,NA,3.631991627622418e-4,NA,NA,1,Pocillopora verrucosa,labile
11506,21,Methyl myristoleate,2,Carboxylic acid derivatives,0.97,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Bad quality,23,43,1,6,0,0,-1.2173913043478262,94.99565217391304,2,"InChI=1S/C15H28O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17-2/h6-7H,3-5,8-14H2,1-2H3/b7-6-",uncharacterized,background,background,Night,NA,NA,1.309997807387845e-4,0.011384061865881583,NA,2,Coral,labile
11523,-1,Amines,N/A,Amines,0.91,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Low probability,17,33,1,5,0,0,-1.1764705882352944,93.8294117647059,3,N/A,uncharacterized,background,background,Night,NA,NA,0.009131663605711743,2.126349762349178e-5,NA,2,Coral,labile
11535,21,Fastigilin B,2,Carboxylic acid derivatives,0.97,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,20,39,1,5,0,0,-1.2999999999999998,97.35,2,"InChI=1S/C20H26O6/c1-9(2)8-14(22)25-18-15-11(4)19(24)26-17(15)16(23)10(3)12-6-7-13(21)20(12,18)5/h6-8,10-12,15-18,23H,1-5H3/t10-,11-,12-,15+,16+,17-,18-,20-/m0/s1",CHON,background,background,Night,NA,NA,NA,0.005128047510429367,NA,1,Porites lobata,labile
11544,21,3-Hydroxyhexadecanoylcarnitine,1,Carboxylic acid derivatives,0.92,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,23,45,1,5,0,0,-1.391304347826087,99.95217391304348,1,"InChI=1S/C23H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)17-23(28)29-21(18-22(26)27)19-24(2,3)4/h20-21,25H,5-19H2,1-4H3/t20?,21-/m1/s1",CHON,background,background,Night,NA,NA,0.0029620804586926743,9.579413864706815e-4,NA,2,Coral,labile
11573,-1,Amines,N/A,Amines,0.95,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,23,43,1,5,0,0,-1.304347826086956,97.47391304347825,3,N/A,CHON,background,background,Night,NA,NA,0.030274861346930335,NA,NA,1,Pocillopora verrucosa,labile
11606,2237,Methyl palmitoleate,2,Fatty acid methyl esters,0.81,CHEMONTID:0003417,5,CHEMONTID:0000324,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003909;CHEMONTID:0000324;CHEMONTID:0003417,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid methyl esters,NA,NA,NA,Good,18,44,9,3,1,0,-0.8888888888888893,85.63333333333334,2,"InChI=1S/C17H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h8-9H,3-7,10-16H2,1-2H3/b9-8-",CHONP,background,background,Night,NA,NA,4.556934000267618e-6,NA,NA,1,Pocillopora verrucosa,labile
11633,141,"ReSpect:PT110540 3,5-Dibromo-L-tyrosine hydrate|Tyr(3,5-diBr)|Dibromotirina|Bromotiren|Biotiren|beta-(3,5-dibromo-4-hydroxyphenyl)alanine|(2S)-2-amino-3-(3,5-dibromo-4-hydroxyphenyl)propanoic acid",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,1,"1/C9H9Br2NO3/c10-5-1-4(2-6(11)8(5)13)3-7(12)9(14)15/h1-2,7,13H,3,12H2,(H,14,15)/t7-/m0/s1/f/h14H",uncharacterized,background,background,Night,0.0052756719979543095,NA,NA,NA,NA,1,CCA,labile
11709,21,N-Oleoylglycine,2,Amines,0.94,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,23,43,1,6,0,0,-1.2173913043478262,94.99565217391304,2,"InChI=1S/C20H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h9-10H,2-8,11-18H2,1H3,(H,21,22)(H,23,24)/b10-9-",CHON,background,background,Night,NA,NA,NA,1.30598435648259e-5,NA,1,Porites lobata,labile
11716,141,"L-3,5-Diiodotyrosine",1,Organic phosphonic acids,0.91,CHEMONTID:0001302,4,CHEMONTID:0000419,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000419;CHEMONTID:0001302,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,NA,NA,NA,NA,Low probability,NA,NA,NA,NA,NA,NA,NA,NA,1,"InChI=1S/C9H9I2NO3/c10-5-1-4(2-6(11)8(5)13)3-7(12)9(14)15/h1-2,7,13H,3,12H2,(H,14,15)/t7-/m0/s1",uncharacterized,background,background,Night,NA,NA,0.0019685439015392704,4.575995866514651e-6,NA,2,Coral,labile
11758,-1,6-aminopurines,N/A,6-aminopurines,0.98,CHEMONTID:0002987,5,CHEMONTID:0000245,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001797;CHEMONTID:0000245;CHEMONTID:0002987,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,NA,NA,NA,Good,23,37,12,3,1,0,0,60.3,3,N/A,CHONP,background,background,Night,NA,NA,0.004984403471583474,NA,NA,1,Pocillopora verrucosa,labile
11937,21,Octanoylcarnitine,2,Carboxylic acid derivatives,0.97,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,16,31,1,4,0,0,-1.25,95.925,2,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",CHON,background,background,Night,NA,NA,NA,0.0297992548690273,NA,1,Porites lobata,labile
12019,-1,Alcohols and polyols,N/A,Alcohols and polyols,0.92,CHEMONTID:0000129,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000129,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,background,background,Night,NA,NA,0.005300064932188983,0.040720892885000436,NA,2,Coral,labile
12021,403,Lipids and lipid-like molecules#Organic oxygen compounds,3,Alcohols and polyols,0.9,CHEMONTID:0000129,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000129,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,Bad quality,23,44,2,10,0,0,-0.7826086956521738,82.60434782608695,3,N/A,uncharacterized,background,background,Night,NA,NA,NA,NA,0.011510501394730636,1,Turf,labile
12043,732,Organoheterocyclic compounds,3,Carbonyl compounds,0.94,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Low probability,21,35,11,5,0,0,0.38095238095238093,49.44285714285714,3,N/A,uncharacterized,background,background,Night,NA,NA,NA,NA,0.011564280340533487,1,Turf,labile
12123,-1,Solasodine,2,Monocarboxylic acids and derivatives,0.91,CHEMONTID:0001137,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001137,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,NA,NA,NA,Low probability,21,46,0,8,1,0,-1.666666666666667,107.80000000000001,2,"InChI=1S/C27H43NO2/c1-16-7-12-27(28-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(29)8-10-25(18,3)21(20)9-11-26(22,24)4/h5,16-17,19-24,28-29H,6-15H2,1-4H3/t16-,17+,19+,20-,21+,22+,23+,24+,25+,26+,27-/m1/s1",uncharacterized,background,background,Night,NA,NA,NA,NA,0.009652248724957698,1,Turf,labile
1213,324,Bis(2-ethylhexyl) adipate,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,20,32,0,8,0,0,-0.7999999999999998,83.1,2,"InChI=1S/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3",CHO,background,background,Night,NA,NA,2.412765924268865e-4,NA,NA,1,Pocillopora verrucosa,labile
