feature_number,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level.x,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,chemical composition,DayNight,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,number_exudate_organisms,Organism,lability,Experiment,Replicate,Timepoint,ra,color,inchi_key,inchi_string,inchi_1,inchi_2,inchi_3,inchi_4,inchi_5,inchi_6,inchi_7,inchi_8,level.y,classification
10678,199,17-Phenyltrinorprostaglandin F2.alpha. cyclohexylamide,2,N-acyl amines,0.89,CHEMONTID:0001096,5,CHEMONTID:0000331,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003909;CHEMONTID:0000331;CHEMONTID:0001096,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,Good,24,44,4,4,0,0,-1,88.8,2,"InChI=1S/C29H43NO4/c31-24(18-17-22-11-5-3-6-12-22)19-20-26-25(27(32)21-28(26)33)15-9-1-2-10-16-29(34)30-23-13-7-4-8-14-23/h1,3,5-6,9,11-12,19-20,23-28,31-33H,2,4,7-8,10,13-18,21H2,(H,30,34)/b9-1-,20-19+/t24-,25+,26+,27-,28+/m0/s1",CHON,Night,NA,9.9010684144357e-5,NA,NA,NA,1,Dictyota,labile,dorcierr,1,Exudate,8.370062004404488e-7,#3B9AB2,VACHMGFXQDUKEU-MXGDMWONSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Eicosanoids;Prostaglandins and related compounds;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,"NA","NA","NA",5,Prostaglandins and related compounds
10678,199,17-Phenyltrinorprostaglandin F2.alpha. cyclohexylamide,2,N-acyl amines,0.89,CHEMONTID:0001096,5,CHEMONTID:0000331,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003909;CHEMONTID:0000331;CHEMONTID:0001096,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,Good,24,44,4,4,0,0,-1,88.8,2,"InChI=1S/C29H43NO4/c31-24(18-17-22-11-5-3-6-12-22)19-20-26-25(27(32)21-28(26)33)15-9-1-2-10-16-29(34)30-23-13-7-4-8-14-23/h1,3,5-6,9,11-12,19-20,23-28,31-33H,2,4,7-8,10,13-18,21H2,(H,30,34)/b9-1-,20-19+/t24-,25+,26+,27-,28+/m0/s1",CHON,Night,NA,9.9010684144357e-5,NA,NA,NA,1,Dictyota,labile,dorcierr,2,Exudate,5.620647103456065e-7,#3B9AB2,VACHMGFXQDUKEU-MXGDMWONSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Eicosanoids;Prostaglandins and related compounds;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,"NA","NA","NA",5,Prostaglandins and related compounds
10728,1969,Monocarboxylic acids and derivatives,N/A,Monocarboxylic acids and derivatives,0.82,CHEMONTID:0001137,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001137,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,NA,NA,NA,Low probability,23,43,2,3,0,0,-1.3478260869565215,98.71304347826086,3,N/A,uncharacterized,Night,NA,NA,0.012466156614174639,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,1.9049424597707583e-5,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10728,1969,Monocarboxylic acids and derivatives,N/A,Monocarboxylic acids and derivatives,0.82,CHEMONTID:0001137,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001137,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,NA,NA,NA,Low probability,23,43,2,3,0,0,-1.3478260869565215,98.71304347826086,3,N/A,uncharacterized,Night,NA,NA,0.012466156614174639,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,3.44587570765342e-5,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10755,1969,Carbonyl compounds,N/A,Carbonyl compounds,0.86,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,18,43,4,5,0,0,-1.166666666666667,93.55000000000001,3,N/A,CHON,Night,NA,NA,0.03783016120757531,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,2.0236431920669336e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10755,1969,Carbonyl compounds,N/A,Carbonyl compounds,0.86,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,18,43,4,5,0,0,-1.166666666666667,93.55000000000001,3,N/A,CHON,Night,NA,NA,0.03783016120757531,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,1.021678320975748e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10774,2601,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,19,26,7,4,0,1,0.26315789473684204,52.8,3,N/A,CHONS,Night,NA,NA,0.0028682661049294735,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,2.1476540861083e-5,goldenrod4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10774,2601,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,19,26,7,4,0,1,0.26315789473684204,52.8,3,N/A,CHONS,Night,NA,NA,0.0028682661049294735,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,2.1035944277082614e-5,goldenrod4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10849,1969,Carbonyl compounds,N/A,Carbonyl compounds,0.85,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Bad quality,18,43,4,5,0,0,-1.166666666666667,93.55000000000001,3,N/A,uncharacterized,Night,NA,NA,0.02034325711851964,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,1.307911101634386e-5,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10849,1969,Carbonyl compounds,N/A,Carbonyl compounds,0.85,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Bad quality,18,43,4,5,0,0,-1.166666666666667,93.55000000000001,3,N/A,uncharacterized,Night,NA,NA,0.02034325711851964,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,1.1516037573725223e-5,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,193,Palmitoleoyl ethanolamide,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad quality,16,35,1,1,0,0,-1.875,113.7375,1,"InChI=1S/C18H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)19-16-17-20/h7-8,20H,2-6,9-17H2,1H3,(H,19,21)/b8-7-",uncharacterized,Night,NA,NA,NA,0.01575506739245489,NA,1,Porites lobata,labile,dorcierr,1,Exudate,1.3003286680402527e-5,#F21A00,WFRLANWAASSSFV-FPLPWBNLSA-N,"Organic compounds;Organic nitrogen compounds;Organonitrogen compounds;Amines;Alkanolamines;1,2-aminoalcohols;N-acylethanolamines;NA",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Alkanolamines,"1,2-aminoalcohols",N-acylethanolamines,"NA",7,N-acylethanolamines
1087,193,Palmitoleoyl ethanolamide,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad quality,16,35,1,1,0,0,-1.875,113.7375,1,"InChI=1S/C18H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)19-16-17-20/h7-8,20H,2-6,9-17H2,1H3,(H,19,21)/b8-7-",uncharacterized,Night,NA,NA,NA,0.01575506739245489,NA,1,Porites lobata,labile,dorcierr,2,Exudate,7.986839971335291e-6,#F21A00,WFRLANWAASSSFV-FPLPWBNLSA-N,"Organic compounds;Organic nitrogen compounds;Organonitrogen compounds;Amines;Alkanolamines;1,2-aminoalcohols;N-acylethanolamines;NA",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Alkanolamines,"1,2-aminoalcohols",N-acylethanolamines,"NA",7,N-acylethanolamines
10881,1922,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.98,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,27,47,1,12,0,0,-0.7407407407407405,81.4111111111111,3,N/A,CHON,Night,NA,NA,3.0209464729160893e-7,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,1.0141230448890722e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10881,1922,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.98,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,27,47,1,12,0,0,-0.7407407407407405,81.4111111111111,3,N/A,CHON,Night,NA,NA,3.0209464729160893e-7,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,7.5228672323749766e-6,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10987,1100,Carbonyl compounds,N/A,Carbonyl compounds,0.9,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,21,33,2,6,0,0,-0.7142857142857144,80.65714285714286,3,N/A,CHON,Night,6.172156132020521e-4,NA,NA,NA,NA,1,CCA,labile,dorcierr,1,Exudate,2.976231192080871e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10987,1100,Carbonyl compounds,N/A,Carbonyl compounds,0.9,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,21,33,2,6,0,0,-0.7142857142857144,80.65714285714286,3,N/A,CHON,Night,6.172156132020521e-4,NA,NA,NA,NA,1,CCA,labile,dorcierr,2,Exudate,3.140746176308564e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11073,80,Primary amines,N/A,Primary amines,0.81,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,Night,1.0351628950948167e-6,NA,NA,NA,NA,1,CCA,labile,dorcierr,1,Exudate,3.2269705538895345e-4,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11073,80,Primary amines,N/A,Primary amines,0.81,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,Night,1.0351628950948167e-6,NA,NA,NA,NA,1,CCA,labile,dorcierr,2,Exudate,3.164646134591767e-4,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11130,1704,Spectral Match to Acetyl-L-carnitine from NIST14,2,Carbonyl compounds,0.86,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,20,39,1,6,0,0,-1.2000000000000002,94.5,2,N/A,CHON,Night,NA,NA,0.00657313686484022,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,2.0479218485130522e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11130,1704,Spectral Match to Acetyl-L-carnitine from NIST14,2,Carbonyl compounds,0.86,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,20,39,1,6,0,0,-1.2000000000000002,94.5,2,N/A,CHON,Night,NA,NA,0.00657313686484022,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,2.248445569729247e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11155,21,3-Hydroxyhexadecanoylcarnitine,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,23,45,1,5,0,0,-1.391304347826087,99.95217391304348,1,"InChI=1S/C23H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)17-23(28)29-21(18-22(26)27)19-24(2,3)4/h20-21,25H,5-19H2,1-4H3/t20?,21-/m1/s1",CHON,Night,NA,NA,0.008750968248655282,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,3.9850006320053204e-5,#3B9AB2,XKAZIAFZAQAHHG-BPGUCPLFSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters;Acyl carnitines;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,"NA","NA","NA",5,Acyl carnitines
11155,21,3-Hydroxyhexadecanoylcarnitine,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,23,45,1,5,0,0,-1.391304347826087,99.95217391304348,1,"InChI=1S/C23H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)17-23(28)29-21(18-22(26)27)19-24(2,3)4/h20-21,25H,5-19H2,1-4H3/t20?,21-/m1/s1",CHON,Night,NA,NA,0.008750968248655282,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,2.825769355697323e-5,#3B9AB2,XKAZIAFZAQAHHG-BPGUCPLFSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters;Acyl carnitines;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,"NA","NA","NA",5,Acyl carnitines
11169,17,N-Oleoyltaurine,2,Carbonyl compounds,0.91,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,21,31,1,4,0,0,-0.9523809523809526,87.44285714285715,2,"InChI=1S/C20H39NO4S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(22)21-18-19-26(23,24)25/h9-10H,2-8,11-19H2,1H3,(H,21,22)(H,23,24,25)/b10-9-",CHON,Night,NA,NA,0.04397254791905914,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,2.920269747504701e-5,#3B9AB2,KOGRJTUIKPMZEJ-KTKRTIGZSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty amides;N-acyl amines;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,"NA","NA","NA",5,N-acyl amines
11169,17,N-Oleoyltaurine,2,Carbonyl compounds,0.91,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,21,31,1,4,0,0,-0.9523809523809526,87.44285714285715,2,"InChI=1S/C20H39NO4S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(22)21-18-19-26(23,24)25/h9-10H,2-8,11-19H2,1H3,(H,21,22)(H,23,24,25)/b10-9-",CHON,Night,NA,NA,0.04397254791905914,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,3.06981136355215e-5,#3B9AB2,KOGRJTUIKPMZEJ-KTKRTIGZSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty amides;N-acyl amines;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,"NA","NA","NA",5,N-acyl amines
1118,343,O-Arachidonoylglycidol,2,Dialkyl phosphates,1,CHEMONTID:0003459,6,CHEMONTID:0003457,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000402;CHEMONTID:0000408;CHEMONTID:0003457;CHEMONTID:0003459,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,Dialkyl phosphates,NA,NA,Good,25,44,1,7,1,0,-1.2800000000000002,96.78,2,"InChI=1S/C23H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(24)26-21-22-20-25-22/h6-7,9-10,12-13,15-16,22H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-",CHONP,Night,NA,NA,NA,1.7670937863645444e-5,NA,1,Porites lobata,labile,dorcierr,1,Exudate,4.7889781551459857e-5,#D1C74C,ACYNJBAUKQMZDF-DOFZRALJSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters;Glycidol esters;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Glycidol esters,"NA","NA","NA",5,Glycidol esters
